product,shop_name,price,listing_age,total_views,views_per_month,total_reviews,total_favorites,avg_reviews,shop_age,total_shop_sales,category,listing_type
"Epoxy Resin Ocean Lamp,Whale shark and diver night light,Resin Wood lamp,Home decor unique gift,handmade gift,Housewarming gift,gift for him",,$99.80,42,"81,053",1929.8,136,"3,629",3,43,"15,304",Home & Living,Physical
Eevee Evolution Resin Lamp: Handmade Wood Diorama Night Light,,$95.57,6,"79,715",13285.8,7,316,1,7,300,Home & Living,Physical
"Dragon age Resin Wood Night Light, Ice & Fire Dragon Lamp, dragon resin lamp, gift for him",,$99.80,26,"79,636",3062.9,122,"4,321",5,34,"16,179",Home & Living,Physical
"Astronaut Galaxy Epoxy Resin Lamp - Space Night Lights, Astronaut & Earth Night Light | Universe-Inspired LED Lamp, gift for him",,$99.80,28,"79,307",2832.4,97,"4,215",3,39,"17,432",Home & Living,Physical
"Espeon umbreon resin lamp, pokemon epoxy wood lamp, pokemon gift, pokemon birthday, custom resin lamp, custom night light",,$117.98,13,"79,191",6091.6,61,"3,886",5,59,"12,310",Home & Living,Physical
"Orca & Turtle Resin Lamp: Ocean Diorama Night Light, killer whale epoxy resin lamp, Mother Day gift",,$99.90,31,"79,116",2552.1,118,"3,773",4,34,"16,179",Home & Living,Physical
"Dart.h Va.der and Storm.trooper Lamp, Star Wa.rs Epoxy Resin Night Light, Galaxy Desk Decor, Gamer Room Light, Valentine Gift for Him",,$137.25,7,"75,312",10758.9,114,"2,985",16,64,"62,570",Home & Living,Physical
"Orca Whale and Diver Resin Lamp, Killer whale night light,Epoxy Resin Table Lamp,Home Decoration,gift for him,halloween gifts,Gifts for son",,$109.80,34,"73,619",2165.3,41,"2,540",1,43,"15,304",Home & Living,Physical
"Halloween Gift, Michael Myers, Halloween Gift for Kids, Halloween Lamp, Night Light, Resin Lamp, Wood Lamp, Xmas idea gift, Halloween Figure",,$135.00,22,"72,814",3309.7,76,"3,241",3,39,"20,551",Home & Living,Physical
"Whale Shark Scuba Diver Epoxy Resin Night Light, Diving Personalised Handmade Wood Light, Unique Home Decor Gifts, Birthday Gifts for He",,$68.80,20,"72,442",3622.1,39,"1,202",2,66,"5,455",Home & Living,Physical
Mermaid in Coral Reef Night Light Resin Lamp The Mermaid and Diver Epoxy Lamp Home Decor Boho Personalized Night Light Birthday Gift,,$123.75,31,"70,650",2279.0,67,"2,527",2,64,"62,570",Home & Living,Physical
"Handcrafted Cthulhu Art Resin Wood Night Light Desk Decor - Perfect Gift for Horror Fans, Father's Day Gift for Him",,$128.00,38,"70,418",1853.1,80,"2,771",2,64,"20,210",Home & Living,Physical
"Whale & DIVER Epoxy Lamp, Custom Epoxy Resin Lamp, Resin Night Light, Resin Wood Art Lamp, Custom Night Light, Personalized Night Light",,$163.33,50,"70,261",1405.2,131,"2,562",3,66,"55,400",Home & Living,Physical
"Colorful Resin Coaster Set, Fun Lava Lamp Coaster, Funky Neon Coaster, Cute Acrylic Coaster, Cool Wavy Coaster, Quirky Maximalist Decor",,$20.38,41,"69,906",1705.0,21,"6,284",1,71,"8,064",Home & Living,Physical
"Winter Snow Forest Deer Night Light, Large Epoxy Resin Wood lamp, Kids gift, Father's Day Gift for Him",,$146.00,50,"69,603",1392.1,39,"2,910",1,64,"20,210",Home & Living,Physical
"Monster in the city Epoxy lamp, Atomic Breath Resin Lamp, Giant monster figure, Terrarium Personalized Night Light, diorama Gaming Decor",,$70.00,17,"69,488",4087.5,20,992,1,17,250,Home & Living,Physical
"Silver Wolf Resin Lamp, Handmade decor Epoxy Lamp, Black wolf resin art, northern lights gift",,$88.00,28,"69,418",2479.2,156,"4,158",6,63,"6,112",Home & Living,Physical
"Back to school idea gift, Fire Glowing Sword Figure, Epoxy Night Light, Custom Lamp, Bon.fire Figure, Game lamp, fire statues, resin lamp",,$135.00,31,"69,207",2232.5,96,"3,460",3,39,"20,551",Art & Collectibles,Physical
"Fire & Ice Dragon Resin Wood Lamp – Fantasy Dragon Night Light, Gamer Desk Decor, Father's Day Gift for Him",,$146.00,44,"69,175",1572.2,95,"4,730",2,64,"20,210",Home & Living,Physical
"Diorama resin epoxy,Desk Decor,Handcrafted decor,Perfect Gift for Game Lovers,Birthday gifs,Desk Accessories,Valentine day Gift",,$99.90,28,"68,812",2457.6,105,"4,000",4,43,"15,304",Home & Living,Physical
"Handcrafted Anime Resin Night Light - Japanese anime Epoxy Lamp, Dragon ball Majin Son, goku and vegeta",,$99.80,18,"68,546",3808.1,90,"2,305",5,39,"17,432",Home & Living,Physical
"Sci-Fi Spaceship Diorama Resin Lamp, star gate, Jumpgate, Resin Sculpture",,$395.00,25,"68,051",2722.0,6,"1,307",0,94,677,Art & Collectibles,Physical
"King Monster G0dzilla resin Night Light- handmade diorama resin, godzilla resin lamp, mother's day",,$99.80,26,"67,087",2580.3,111,"1,600",4,34,"16,179",Home & Living,Physical
"Avatar 3 Ash and Fire, Tulkun ft Kiri Avatar 3, Pandora Lamp, Ocean Resin Lamp, Xmas Gift for kids, Christmas Gift , Unique Home Decor Gift",,$135.00,34,"66,741",1963.0,48,"3,289",1,39,"20,551",Home & Living,Physical
Crystal pearl shell night light warm white lamp Little Mermaid theme romantic gift for her Halloween unique gift,,$62.57,63,"66,651",1058.0,34,"7,235",1,110,443,Home & Living,Physical
"OP Anime Going Merry Pirate Shipwreck Night Light, Resin Wood Lamp, Personalized gift For Japanese Anime Fans, Father's Day Gift for Him",,$146.00,39,"64,879",1663.6,83,"3,394",2,64,"20,210",Home & Living,Physical
"Fire Dragon Resin Lamp, Dragon Legend, Dragon figures, Dragon lamp for halloween gift, unique night lamp, gifts for boyfriend, Birthday gift",,$99.90,19,"64,551",3397.4,141,"4,413",7,43,"15,304",Home & Living,Physical
"Explosion Bomb Resin Lamp, Atomic bomb diorama, Nuke bomb fallout 4, little boy bomb, Valentines Day gift for him",,$88.00,34,"64,286",1890.8,89,"3,141",3,34,"16,179",Home & Living,Physical
"Space monster night light,Custom resin lamp,home decoration,diorama resin epoxy,handmade gifts,personalized gift,gifts for son,gift for her",,$99.90,28,"63,689",2274.6,121,"3,134",4,43,"15,304",Home & Living,Physical
"Custom Great White Shark and scuba resin lamp, SCUBA DIVER Epoxy Lamp, ocean night light, gift for him, Christmas gift, home decoration",,$109.80,30,"63,457",2115.2,92,"2,131",3,54,"31,299",Home & Living,Physical
"SpaceX Starship Rocket Launch Lamp - Falcon Heavy resin epoxy lamp, Gift for Engineers & Space Lovers, Luxury Corporate Gifts",,$163.00,32,"63,216",1975.5,31,"1,188",1,39,"17,432",Home & Living,Physical
"Handmade Interstellar Wood Lamp: Astronaut & Galaxy Resin Art, Galaxy Lamp, Space ship Lamp, Resin night light, personalization Gift",,$109.80,32,"62,903",1965.7,95,"4,032",3,54,"31,299",Home & Living,Physical
"Star Wars X-Wing Diorama, Resin Sculpture, Nerd Desk Lamp",,$430.40,43,"62,850",1461.6,14,"1,881",0,53,408,Art & Collectibles,Physical
"Sunflower Accent Light with Wooden Stand | Handmade Resin Craft with Real Sunflower Inside - Home Décor Night Light, Accent Lamp, Mood Light",,$62.00,31,"62,738",2023.8,185,"4,083",6,124,"17,234",Home & Living,Physical
"Resting place in D.ark Sou.ls Night Light Bo.nfire Da.rk Soul lamp, D.ark Sou.ls fire statues Fire Glowing Sword Figure, Custom Night Light",,$137.25,28,"62,675",2238.4,83,"3,247",3,64,"62,570",Home & Living,Physical
"Humpback whale and sea Turtles resin night lamp, Manta Ray and Jellyfish, Perfect Gift for Ocean Lovers and Home Decor, Gift for mom,",,$60.00,26,"62,491",2403.5,74,"2,706",3,34,"16,179",Home & Living,Physical
Resin Goddess Sculpture: Cyberpunk Home Decor Lamp - Large Cube Diorama,,"$18,500.00",72,"62,489",867.9,0,"1,718",0,94,677,Art & Collectibles,Physical
Hollow Knight Resin Lamp – Handmade LED Night Light | Christmas Gift for Gamers | Indie Game Diorama Decor,,$97.51,22,"62,182",2826.5,60,"1,074",3,54,"22,721",Home & Living,Physical
"Orca & Diver Resin Wood Night Light, LED Table Lamp, Home Decor, Father's Day Gift for Him",,$146.00,51,"61,200",1200.0,64,"3,246",1,64,"20,210",Home & Living,Physical
"Pokemon resin lamp, charmander epoxy lamp, charizard pokemon lamp, pokemon gifts, custom lamp, pokemon decor, custom resin night light",,$137.98,32,"60,514",1891.1,44,"2,440",1,59,"12,310",Home & Living,Physical
"Axolotl resin lamp, Mexican Salamander resin art lamp, unique resin gifts for daughter, home decoration, gift for her, Christmas gift",,$83.16,20,"60,164",3008.2,43,"3,334",2,23,"3,641",Home & Living,Physical
Epic Godzilla flame spitting scene Diorama Resin Lamp: Handmade Gaming Night light Decor,,$88.00,25,"59,833",2393.3,97,"1,383",4,63,"6,112",Home & Living,Physical
"Resin lamp deep blue sea, epoxy resin night light, color changing resin wood lamp, transparent resin lamp, bedside lamp",,$113.98,18,"59,718",3317.7,21,"1,269",1,59,"12,310",Home & Living,Physical
"Miniature Monster Light Box – Handcrafted Godzilla Figure with LED Light, handmade gifts for him, gaming decor, godzilla lamp",,$70.00,22,"59,688",2713.1,94,"1,531",4,34,"16,179",Home & Living,Physical
