shop_name,listing_id,title,price,tags,etsy_url,image_url,listing_age,views,favorites,reviews,avg_reviews,state,total_sold,visibility_score,est_reviews,category,sub_category,listing_type,ship_from,when_made,who_made,is_customizable,has_variations,mo_sales,mo_revenue,total_sales_est,growth_rate,listing_active_count
GONdesignJEWELRY,4457069736,"Comfort Color Custom Birthday Photo Collage Shirt, Girlfriend-Boyfriend T-shirt, Face Top Bootleg Shirt, Matching Birthday Retro Tee",13.63,"bootleg shirt, custom photo shirt, your own bootleg, custom birthday tee, matching birthday, funny bday gifts, gifts for her, birthday photo shirt, birthday squad shirt, match bday tees, mom gift, party shirt, dad gift",https://www.etsy.com/listing/4457069736/comfort-color-custom-birthday-photo,https://i.etsystatic.com/30078352/r/il/e12a92/7705343104/il_170x135.7705343104_ggz3.jpg,3,208,7,3333,0,active,17006,25,0,Clothing,T-shirts,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4471796725,"Funny Raccoon Scrub Cap: Light Blue Surfing Medical Hat, Sarcastic Quote, blue Cotton Tie Back, Vet Gift.",19.99,"raccoon scrub cap, funny medical hat, surfing animal cap, sarcastic scrub hat, nurse cap funny, vet tech scrub cap, men surgical cap, women scrub hat, pizza scrub cap, tired nurse gift, wildlife rehab gift, blue scrub cap, funny doctor gift",https://www.etsy.com/listing/4471796725/funny-raccoon-scrub-cap-light-blue,https://i.etsystatic.com/30078352/r/il/43cb71/7804162108/il_170x135.7804162108_m27h.jpg,2,203,7,3333,0,active,17006,36,0,Accessories,Hats & Caps,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4471750751,"Silly goose Meme Scrub Cap, Serious Goose Scrub Cap: Funny Nurse Hat gift, blue Cotton Tie Back, Vet Gift.",19.99,"serious goose, funny scrub cap, euro scrub hat, nurse humor, white cotton cap, tie back style, vet tech gift, doctor headwear, medical student, goose print, surgical cap, rn appreciation gift, funny doctor hat",https://www.etsy.com/listing/4471750751/silly-goose-meme-scrub-cap-serious-goose,https://i.etsystatic.com/30078352/r/il/dbc514/7803810358/il_170x135.7803810358_4kdh.jpg,2,196,6,3333,0,active,17006,36,0,Accessories,Hats & Caps,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4470311738,"Memorial Wedding Chair Sign, Reserved Banner for Loved Ones, In Loving Memory Sign, Ceremony Tribute, Wedding Aisle Decor, linen sign",32.99,"in loving memory, memorial sign, wedding signs, wedding decor, sympathy gift, memorial plaque, in memory sign, fabric wedding sign, wedding decoration, welcome sign, boho wedding, wedding sign, rustic wedding",https://www.etsy.com/listing/4470311738/memorial-wedding-chair-sign-reserved,https://i.etsystatic.com/30078352/r/il/ad1cc2/7842152773/il_170x135.7842152773_q9sa.jpg,2,195,8,3333,0,active,17006,36,0,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4496132419,"Personalized Kid Graduation Sash , Cute Kindergarten Stole Custom Name, Preschool Grad Gift, Class of 2026 Girl Sash, Girl boy Graduate Sash",19.99,"kids grad stole, custom kid stole, preschool grad gift, kindergarten stole, toddler graduation, grad stole for kids, pencil grad stole, custom grad sash, pre-k grad stole, graduation gift kid, cute grad stole, sash for preschool, class of 2026 gift",https://www.etsy.com/listing/4496132419/personalized-kid-graduation-sash-cute,https://i.etsystatic.com/30078352/r/il/c6c8ba/8009702833/il_170x135.8009702833_lkju.jpg,1,190,6,3333,0,active,17006,30,0,Accessories,Scarves,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4493541125,"Personalized Fabric Baby Shower Sign, Custom Baby Shower Sign, Welcome Sign for Baby Shower, Custom Baby Shower Decor, baby name sign",32.99,"welcome sign, cusstom name decor, customized signs, warm welcome sign, baby shower sign, baby shower decor, custom baby shower, modern baby shower, baby shower, welcome baby, fabric baby shower, linen baby shower, baby shower banner",https://www.etsy.com/listing/4493541125/personalized-fabric-baby-shower-sign,https://i.etsystatic.com/30078352/r/il/537479/7992476327/il_170x135.7992476327_ojo3.jpg,1,186,7,3333,0,active,17006,39,0,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4477011347,"Fabric Bar Menu Sign, Fabric Welcome Sign. Wedding Cocktails, Linen Cotton, Wedding, Birthday, Anniversary sign, weddinglinen sign",32.99,"wedding sign, shower sign, baby shower sign, bridal shower sign, fabric sign, custom wedding sign, welcome sign, baby shower, linen sign decor, linen, bar sign decor, fabric bar decor, signature drinks",https://www.etsy.com/listing/4477011347/fabric-bar-menu-sign-fabric-welcome-sign,https://i.etsystatic.com/30078352/r/il/4fb5bb/7838424512/il_170x135.7838424512_a5dy.jpg,2,186,10,3333,1,active,17006,33,1,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4469662246,"From heaven - Memorial chair sign, Memorial Chair Sign, Wedding Reserved Seat Banner, In Loving Memory Sign, Tribute Chair Banner",32.99,"in loving memory, memorial sign, wedding signs, wedding decor, sympathy gift, memorial plaque, in memory sign, fabric wedding sign, wedding decoration, welcome sign, boho wedding, wedding sign, rustic wedding",https://www.etsy.com/listing/4469662246/from-heaven-memorial-chair-sign-memorial,https://i.etsystatic.com/30078352/r/il/9471cd/7838009939/il_170x135.7838009939_15t6.jpg,2,176,5,3333,1,active,17006,33,2,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4471900775,"Personalized Wedding Memorial Sign for Wedding Seat, Minimalist Reserved linen Sign for Father, Grandparents Fabric Memorial Wedding Banner",32.99,"memorial fabric, reserved signage, nautical wedding, minimalist banner, wedding memorial, grandparents memory, white chair banner, memory fabric sign, loved ones memorial, in loving memory, watching from heaven, wedding chair sign, wedding memory gift",https://www.etsy.com/listing/4471900775/personalized-wedding-memorial-sign-for,https://i.etsystatic.com/30078352/r/il/c167ff/7804908088/il_170x135.7804908088_htvp.jpg,2,168,1,3333,1,active,17006,33,1,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4489620215,Love is Brewing Custom Linen Bridal Shower Welcome Sign Love is Brewing Personalized Bridal Shower Welcome Sign Bachelorette Party Decor,32.99,"wedding welcome sign, welcome party sign, linen wedding sign, linen welcome sign, linen tapestry, wedding tapestry, bridal shower banner, engagement sign, bride shower welcome, love is brewing, bridal shower decor, bachelorette sign, espresso martini",https://www.etsy.com/listing/4489620215/love-is-brewing-custom-linen-bridal,https://i.etsystatic.com/30078352/r/il/a977ac/7967184481/il_170x135.7967184481_f62w.jpg,1,164,7,3333,0,active,17006,42,0,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4480795225,"Personalized Linen black bar or event Sign, Linen Cotton, Wedding, Birthday, Anniversary, custom name bar wedding sign, wedding banner decor",32.99,"wedding sign, baby shower sign, bridal shower sign, custom wedding sign, welcome sign, baby shower, linen sign decor, bar sign decor, fabric bar sign, signature drinks, linen bar decor, bar sign gift, linen sheet",https://www.etsy.com/listing/4480795225/personalized-linen-black-bar-or-event,https://i.etsystatic.com/30078352/r/il/50406e/7863444836/il_170x135.7863444836_5unp.jpg,2,154,8,3333,0,active,17006,25,0,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
